,clean_word,weight
1175,cengang,2.0
1176,cengeng,-4.0
1177,cengger,-3.0
1178,cengkam,-4.0
1179,cengkau,-1.0
1180,cengkedi,-4.0
1181,cengkelong,-5.0
1182,cengkeram,-3.0
1183,cengkerama,-2.0
1184,cengung,-3.0
1185,centang,-5.0
1186,centil,5.0
1187,cepat,3.3333333333333335
1188,cepet,2.0
1189,cepol,-4.0
1190,cerabah,-5.0
1191,cerabih,-4.0
1192,ceracam,-4.0
1193,ceracau,-3.5
1194,cerah,-3.0
1195,cerai,-3.5
1196,ceraiberai,-5.0
1197,cerap,3.0
1198,cerat,-3.0
1199,cerca,-4.333333333333333
1200,cercah,2.0
1201,cerdik,3.0
1202,cerewet,-5.0
1203,ceri,4.0
1204,ceria,3.0
1205,cerita,2.3333333333333335
1206,cerita anak,2.0
1207,cerita burung,-5.0
1208,cerita khayal,-2.0
1209,cerita reka,-4.0
1210,ceriwis,-4.0
1211,cerkau,-4.0
1212,cermin,3.25
1213,cerna,-2.0
1214,ceroboh,-5.0
1215,ceronggah,-4.0
1216,ceruk,-3.0
1217,cerup,-3.0
1218,cetak,-5.0
1219,cetek,-3.0
1220,cetera,-4.0
1221,cetus,-1.0
1222,challenge,2.0
1223,chat,3.0
1224,check,1.0
1225,cibir,-5.0
1226,cicik,-4.5
1227,cicip,3.0
