,clean_word,weight
2046,sanggama,5.0
6170,sanggama,-2.0
6172,sanggup,-5.0
2047,sanggup,2.0
6177,sangkut,-3.0
2050,sangkut,1.6666666666666667
6198,satu,-2.6666666666666665
2067,satu,3.0
2074,sayap,4.0
6202,sayap,-4.0
2083,sedia,2.1666666666666665
6218,sedia,-3.0
2095,sekar,5.0
6232,sekar,-4.0
2098,sekongkol,4.0
6236,sekongkol,-4.0
6259,selidik,-5.0
2107,selidik,2.0
6267,seloroh,-4.0
2108,seloroh,3.0
6269,seluk,-3.0
2109,seluk,3.0
2111,semangat,4.0
6280,semangat,-3.5
2114,semayam,4.0
6285,semayam,-3.0
2115,sembah,4.0
6286,sembah,-2.0
6292,sembul,-3.0
2120,sembul,1.0
6293,sembunyi,-3.0
2121,sembunyi,5.0
6295,sembur,-4.0
2122,sembur,1.0
6318,sengat,-4.0
2136,sengat,5.0
6325,senjang,-4.0
2138,senjang,1.0
2142,sentuh,1.0
6335,sentuh,-3.1666666666666665
2143,senyap,1.0
6339,senyap,-4.0
6343,sepele,-4.0
2149,sepele,4.0
2152,serah,2.0
6351,serah,-3.5
6366,serikat,-3.0
2161,serikat,3.0
6370,serobot,-4.0
2165,serobot,3.0
6377,sesal,-5.0
2171,sesal,1.0
2173,setia,3.0
6387,setia,-4.0
6401,siapa,-2.0
2182,siapa,1.0
2183,sibuk,4.0
6406,sibuk,-2.5
2188,sila,1.3333333333333333
6417,sila,-3.0
6427,simpan,-3.0
2197,simpan,3.0
6431,sinar,-3.0
2207,sinar,4.0
2209,singgung,1.0
6435,singgung,-4.0
6436,singkap,-3.6666666666666665
2210,singkap,3.0
2220,sirap hati,1.0
6445,sirap hati,-2.0
2240,solek,3.0
6474,solek,-4.0
2243,sorong,4.0
6486,sorong,-3.0
2276,suap,2.0
6503,suap,-3.0
2285,suci,4.0
6507,suci,-1.0
2293,sukar,4.0
6511,sukar,-4.0
6513,sukat,-5.0
2296,sukat,3.0
6523,sumpah,-5.0
2301,sumpah,3.0
2305,sungguh,4.0
6535,sungguh,-3.0
6543,suntuk,-4.0
2307,suntuk,5.0
2308,sunyi,1.0
6545,sunyi,-3.0
2318,susah,4.0
6556,susah,-4.0
2319,susah hati,3.0
6557,susah hati,-5.0
2322,susut,1.0
6565,susut,-2.0
2337,tahan,2.25
6585,tahan,-3.5
6588,tahu,-5.0
2340,tahu,4.0
2348,takar,3.0
6598,takar,-5.0
6600,takjub,-1.0
2349,takjub,3.5
6604,takut,-4.0
2352,takut,1.0
6611,tambah,-5.0
2360,tambah,3.25
2362,tampak,1.0
6617,tampak,-4.0
2364,tanda,4.0
6627,tanda,-2.5
2367,tandang,1.0
6628,tandang,-4.0
6629,tanduk,-2.0
2371,tanduk,3.0
6635,tangguh,-3.0
2374,tangguh,4.0
2375,tanggulang,2.0
6637,tanggulang,-5.0
6640,tangkal,-4.0
2376,tangkal,4.0
2377,tangkap,3.0
6641,tangkap,-3.0
2379,tangkis,3.0
6644,tangkis,-3.0
2384,tapa,2.0
6647,tapa,-3.0
2385,tara,2.0
6651,tara,-3.0
6655,taruh,-3.0
2391,taruh,3.5
6659,tata,-2.5
2395,tata,3.0
2399,taut,2.0
6665,taut,-4.0
6673,tebar,-4.0
2408,tebar,3.0
2411,tegang,4.0
6681,tegang,-4.0
2412,tegap,3.0
6682,tegap,-3.0
2417,teguk,2.0
6684,teguk,-3.0
6688,tekan,-3.0
2422,tekan,1.0
6689,tekan mental,-4.0
2424,tekan mental,4.0
6706,telinga merah,-3.0
2430,telinga merah,4.0
2443,tenang,4.5
6726,tenang,-4.0
2444,tengah,2.0
6730,tengah,-3.6666666666666665
6735,tenggang,-3.0
2445,tenggang,2.0
2465,terima,2.25
6757,terima,-3.0
2470,terjun,1.0
6761,terjun,-5.0
2479,tertib,3.5
6774,tertib,-2.0
6776,tetap,-5.0
2482,tetap,3.0
2484,tewas,1.0
6783,tewas,-3.0
6784,tiada,-3.0
2487,tiada,1.0
6786,tidur,-3.0
2491,tidur,3.0
6799,timbal,-2.5
2495,timbal,4.0
2498,tindak,3.0
6806,tindak,-4.0
2499,tinggal,3.0
6812,tinggal,-3.5
2500,tinggi,3.0
6813,tinggi,-2.0
6819,tip,-3.0
2503,tip,4.0
2507,titi,2.0
6824,titi,-3.5
6836,tokok,-3.0
2511,tokok,3.0
2512,tolak,4.0
6837,tolak,-3.4
6843,tongkrong,-3.0
2515,tongkrong,1.0
2531,tuah,1.0
6863,tuah,-3.0
6876,tuju,-3.5
2533,tuju,3.5
6886,tumbang,-3.0
2544,tumbang,1.0
6890,tumbuk,-3.6666666666666665
2545,tumbuk,4.0
2550,tumpuk,4.0
6897,tumpuk,-3.5
6904,tunduk,-4.0
2555,tunduk,2.0
6906,tunggak,-4.0
2556,tunggak,3.0
6909,tunggu,-2.6666666666666665
2557,tunggu,2.0
2560,tunjang,3.0
6912,tunjang,-3.3333333333333335
6915,tuntun,-3.0
2562,tuntun,3.0
6919,turun,-4.333333333333333
2564,turun,1.3333333333333333
6920,turut,-3.0
2565,turut,4.0
6923,tutur,-3.0
2568,tutur,3.0
6937,ucap,-2.0
2572,ucap,3.0
6948,uji,-5.0
2575,uji,1.0
6962,umum,-3.0
2584,umum,2.0
2585,umur,4.0
6963,umur,-2.0
6967,ungkap,-3.5
2590,ungkap,3.0
6985,usai,-2.0
2600,usai,3.0
6989,usil,-3.0
2602,usil,4.0
7016,warna,-3.0
2633,warna,4.0
2652,wujud,2.0
7028,wujud,-3.0
